time,topic,topic_value,source
6,6,0.18447072803974152,uganda
6,7,0.08040980249643326,uganda
6,8,0.11356702446937561,uganda
6,9,0.029624322429299355,uganda
7,0,0.04101915657520294,uganda
7,1,0.08794128894805908,uganda
7,2,0.09456610679626465,uganda
7,3,0.2745493948459625,uganda
7,4,0.052026331424713135,uganda
7,5,0.046787362545728683,uganda
7,6,0.1805315762758255,uganda
7,7,0.07973633706569672,uganda
7,8,0.11320836842060089,uganda
7,9,0.02963404171168804,uganda
8,0,0.041208185255527496,uganda
8,1,0.08916386216878891,uganda
8,2,0.09413301944732666,uganda
8,3,0.2787799835205078,uganda
8,4,0.05242820084095001,uganda
8,5,0.046836648136377335,uganda
8,6,0.1756725013256073,uganda
8,7,0.07920649647712708,uganda
8,8,0.11278464645147324,uganda
8,9,0.02978641539812088,uganda
9,0,0.041276268661022186,uganda
9,1,0.09011244028806686,uganda
9,2,0.09357182681560516,uganda
9,3,0.28315743803977966,uganda
9,4,0.05268522724509239,uganda
9,5,0.046800583600997925,uganda
9,6,0.17152345180511475,uganda
9,7,0.07862162590026855,uganda
9,8,0.11236012727022171,uganda
9,9,0.02989117056131363,uganda
10,0,0.041212182492017746,uganda
10,1,0.09068362414836884,uganda
10,2,0.09288794547319412,uganda
10,3,0.28736376762390137,uganda
10,4,0.05274404585361481,uganda
10,5,0.04667280614376068,uganda
10,6,0.16855956614017487,uganda
10,7,0.07801079005002975,uganda
10,8,0.11195853352546692,uganda
10,9,0.029906753450632095,uganda
11,0,0.04114162549376488,uganda
11,1,0.09116020798683167,uganda
11,2,0.0921715721487999,uganda
11,3,0.2908979654312134,uganda
11,4,0.052773620933294296,uganda
11,5,0.04657873883843422,uganda
11,6,0.16629530489444733,uganda
11,7,0.07749640196561813,uganda
11,8,0.11157713085412979,uganda
11,9,0.029907366260886192,uganda
12,0,0.04110487923026085,uganda
12,1,0.09173046052455902,uganda
12,2,0.09147539734840393,uganda
12,3,0.2943982481956482,uganda
12,4,0.05286726355552673,uganda
12,5,0.04649878665804863,uganda
